	name	clade	strain
412	MZ516082_Netherlands_2017	B.D.3.2	MZ516082
413	MZ515603_Netherlands_2017	B.D.3.2	MZ515603
414	EPI-ISL-15120746_Morocco_2017	B.D.3.2	EPI-ISL-15120746
415	EPI-ISL-6174138_Egypt_2019	B.D.3.2	EPI-ISL-6174138
416	LC385006_Philippines_2016	B.D.3.2	LC385006
417	MZ516041_Netherlands_2018	B.D.3.2	MZ516041
418	MK749866_Nicaragua_2015	B.D.3.2	MK749866
419	MK749880_Nicaragua_2015	B.D.3.2	MK749880
420	MK749914_Nicaragua_2015	B.D.3.2	MK749914
421	MK749879_Nicaragua_2015	B.D.3.2	MK749879
422	MK749904_Nicaragua_2015	B.D.3.2	MK749904
423	MK749888_Nicaragua_2015	B.D.3.2	MK749888
424	MK749878_Nicaragua_2015	B.D.3.2	MK749878
425	MK749906_Nicaragua_2015	B.D.3.2	MK749906
426	MK749907_Nicaragua_2015	B.D.3.2	MK749907
427	MK749903_Nicaragua_2015	B.D.3.2	MK749903
428	MK749870_Nicaragua_2015	B.D.3.2	MK749870
429	MK749874_Nicaragua_2015	B.D.3.2	MK749874
430	MK749915_Nicaragua_2016	B.D.3.2	MK749915
431	MK749897_Nicaragua_2016	B.D.3.2	MK749897
432	MK749908_Nicaragua_2016	B.D.3.2	MK749908
433	MK749905_Nicaragua_2015	B.D.3.2	MK749905
434	MK749889_Nicaragua_2015	B.D.3.2	MK749889
435	MK749896_Nicaragua_2015	B.D.3.2	MK749896
436	MK749876_Nicaragua_2015	B.D.3.2	MK749876
437	MK749875_Nicaragua_2016	B.D.3.2	MK749875
438	MK749868_Nicaragua_2016	B.D.3.2	MK749868
439	MK749882_Nicaragua_2016	B.D.3.2	MK749882
440	MK749885_Nicaragua_2016	B.D.3.2	MK749885
441	MK749901_Nicaragua_2016	B.D.3.2	MK749901
442	MK749869_Nicaragua_2016	B.D.3.2	MK749869
443	MK749916_Nicaragua_2016	B.D.3.2	MK749916
444	MK749894_Nicaragua_2016	B.D.3.2	MK749894
445	MK749910_Nicaragua_2016	B.D.3.2	MK749910
446	MK749887_Nicaragua_2015	B.D.3.2	MK749887
447	LR699743_Spain_2018	B.D.3.2	LR699743
448	MZ515648_Netherlands_2018	B.D.3.2	MZ515648
449	MZ515836_Netherlands_2018	B.D.3.2	MZ515836
450	MZ516104_Netherlands_2018	B.D.3.2	MZ516104
451	MZ516045_United-Kingdom_2017	B.D.3.2	MZ516045
452	OM857396_Australia_2020	B.D.3.2	OM857396
453	OM857397_Australia_2020	B.D.3.2	OM857397
454	MT040084_USA_2016	B.D.3.2	MT040084
455	MT040088_USA_2016	B.D.3.2	MT040088
456	MT040086_USA_2016	B.D.3.2	MT040086
457	LC385008_Philippines_2016	B.D.3.2	LC385008
458	MT040087_USA_2016	B.D.3.2	MT040087
459	ON237214_Argentina_2017	B.D.3.2	ON237214
460	ON237216_Argentina_2017	B.D.3.2	ON237216
461	ON237155_Argentina_2015	B.D.3.2	ON237155
462	EPI-ISL-15120687_Morocco_2015	B.D.3.2	EPI-ISL-15120687
463	EPI-ISL-15120699_Morocco_2016	B.D.3.2	EPI-ISL-15120699
464	EPI-ISL-15120698_Morocco_2016	B.D.3.2	EPI-ISL-15120698
